preML,preDV,preAP,postML,postDV,postAP,spikeWidth,spikeThresh,spikeAmp,adaptIndex,burstIndex,Rm,Cm,maxFireRate,sagRatio,outputGain,Iholding,isConn,amp,tauRise,tauDecay,APbregma,WCboth,WCtimes,WCrate,dML,dDV,dAP,dML2,dDV2,dAP2,dEuclid,dHoriz,is_mPFCBLA2mPFCBLA,is_mPFCBLA2nonmPFCBLA,is_random2random
358.229803435344,2027.15866740138,31.4348840001919,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.195028893,0.541546303,0.090688512,-20.4579439180076,44.1155432631399,-36.7800878844703,418.527469352343,1946.18115740197,1352.77486478936,60.9711693470256,48.628269830977,1,0,0
307.444971419228,1902.56423895807,50.965547965231,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.102346927,0.185933667,0.46902381,-71.2427759341235,-80.478885180172,-17.2494239194312,5075.53312279973,6476.85095984331,297.542625552246,108.857368644457,107.482017484987,1,0,0
383.630481189856,2151.52894236465,45.5495081414471,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.042035152,0.228623085,0.103764632,4.94273383650477,168.485818226412,-22.665463743215,24.4306177785292,28387.4709434235,513.723246694996,170.075350382991,168.558303151171,1,0,0
364.304842628893,1940.00355828339,48.4395490836643,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.117080526,0.766735396,0.036069932,-14.3829047244579,-43.0395658548496,-19.7754228009979,206.867948312835,1852.40422897393,391.067346958226,49.5009042770432,45.3792042381394,1,0,0
330.108509953011,2197.23111822791,59.632612457254,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.18351817,0.359323556,0.234251006,-48.5792374003408,214.187994089669,-8.58235942740822,2359.94230639867,45876.496812156,73.6568933412228,219.795577780573,219.627956140731,1,0,0
286.311241508156,1970.60039863172,71.1228902079515,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.501862282,0.816500384,0.183763304,-92.376505845195,-12.4427255065229,2.90791832328929,8533.41883216735,154.821418030677,8.45598897492162,93.2560788322828,93.2107303382933,1,0,0
300.231996386484,1912.72194170566,75.3673614764395,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.04217547,0.570542413,0.031704744,-78.4557509668677,-70.3211824325824,7.15238959177736,6155.30485977516,4945.06869871654,51.1566768725652,105.60080603558,105.358310343758,1,0,0
411.438861661251,2073.76623734574,51.4404817525456,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.145800837,0.575880493,0.080221122,32.7511143078998,90.7231132074976,-16.7744901321166,1072.63548840912,8230.68327006042,281.383519192478,97.901492724381,96.4537130361996,1,0,0
324.447273714903,1870.87236225816,70.2224618366802,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.023334697,0.357562616,0.036659638,-54.2404736384483,-112.170761880082,2.00748995201806,2942.0289805232,12582.279820758,4.03001590745348,124.612755435343,124.596584227985,1,0,0
321.4497932858,1850.74213922152,72.7238064627389,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.204015411,0.415224186,0.192209761,-57.2379540675517,-132.300984916722,4.50883457807669,3276.18338583916,17503.5506099348,20.32958925246,144.222271459807,144.151774167972,1,0,0
496.485426283467,1912.70586102872,34.7229577657506,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.364662161,0.408931829,0.50387201,117.797678930115,-70.3372631095137,-33.4920141189116,13876.2931613225,4947.33058173696,1121.71500974137,141.227967318095,137.199211889353,1,0,0
435.090108446103,2013.56924511213,54.4131134450529,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.141029442,0.556609412,0.059961893,56.4023610927514,30.5261209738919,-13.8018584396093,3181.22633683712,931.844061712684,190.491296387014,65.601537290957,64.1332238278243,1,0,0
432.074672903237,2107.85713354742,68.6185147867699,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.054054652,0.226845326,0.137109204,53.3869255498856,124.814009409179,0.403542902107745,2850.16381966903,15578.5369447945,0.162846873841541,135.752950654258,135.752350861646,1,0,0
351.857601911549,1993.49912890443,74.6042111277776,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,NaN,NaN,NaN,-26.8301454418026,10.4560047661935,6.38923924311544,719.85670442828,109.328035670661,40.8223781057664,29.495883072129,28.7955680634875,1,0,0
